,exchangeId,feesNative,feesUSD,liquidityTotalNative,liquidityTotalUSD,volumeTotalUSD,volumeTotalNative,pairsTradedTotal,tradesTotal,timestamp
29,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,9143.057922735,9142.875064925824,43965004.846292,87919875.70807475,3047625.0216419417,3047685.974245,1,2718,2022-12-01
28,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,8191.409899152,8191.667677400406,44246971.37528,88565165.78199594,2730555.892466802,2730469.966384,1,2319,2022-12-02
27,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,8327.986078023001,8334.621599707114,43347346.604774,86748082.86264524,2778207.1999023715,2775995.359341,1,2205,2022-12-03
26,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,7262.330571297,7263.576500429061,44040234.509068,88066308.18975228,2421192.166809687,2420776.857099,1,1890,2022-12-04
25,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,46747.723749318,46749.7252594651,43119048.203333,86273258.2789832,15583241.753155032,15582574.583106,1,2370,2022-12-05
24,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,7324.695111576,7325.34996133666,43302744.815608,86618561.04869765,2441783.3204455534,2441565.037192,1,2168,2022-12-06
23,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,8863.033403385,8862.789373577953,42588659.785769,85222992.30109671,2954263.1245259843,2954344.467795,1,2675,2022-12-07
22,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,10509.251184123,10510.778883589332,43499703.994478,86945812.57199001,3503592.961196444,3503083.728041,1,2580,2022-12-08
21,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,7619.240646191999,7620.09777183514,43180903.68062,86415180.36787663,2540032.590611713,2539746.882064,1,2383,2022-12-09
20,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,3867.202696683,3867.223939887255,43242305.448831,86479055.96255073,1289074.6466290848,1289067.565561,1,1758,2022-12-10
19,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,4513.524557532,4514.792971668001,43338535.328178,86643145.05394223,1504930.9905560005,1504508.185844,1,1967,2022-12-11
18,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,5779.307928333,5780.558309166045,43484876.50099,87049755.9388689,1926852.769722015,1926435.976111,1,2154,2022-12-12
17,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,18744.408506544,18742.36615552737,44434734.234466,88840234.30252989,6247455.385175789,6248136.168848,1,2454,2022-12-13
16,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,9874.193277663,9875.66101594376,43812794.8603,87617038.95700571,3291887.0053145867,3291397.759221,1,2092,2022-12-14
15,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,7178.247951438,7178.782872102532,43046130.840105,86232098.73216437,2392927.624034177,2392749.317146,1,2271,2022-12-15
14,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,24193.097439792,24195.42317873725,41298348.116502,82662315.56584512,8065141.059579083,8064365.813264,1,2960,2022-12-16
13,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,6584.916333051,6586.782643375142,41660275.301678,83335902.31531064,2195594.2144583804,2194972.111017,1,2119,2022-12-17
12,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,5925.1273368150005,5925.350370182529,41617681.336435,83154517.74980739,1975116.790060843,1975042.445605,1,1604,2022-12-18
11,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,8659.219595874,8660.401890926112,41305529.089684,82635797.52463135,2886800.630308704,2886406.531958,1,1956,2022-12-19
10,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,9178.125038523,9180.608188437916,42187104.894552,84397081.99472538,3060202.7294793045,3059375.012841,1,2787,2022-12-20
9,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,5577.578452872,5577.7388055760575,42091241.746624,84295732.7765182,1859246.2685253525,1859192.817624,1,2923,2022-12-21
8,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,8297.054517822,8294.253376341307,42185049.145554,84377172.4031823,2764751.1254471024,2765684.839274,1,2430,2022-12-22
7,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,3931.0463727810006,3932.0303430317313,36942136.319303,73930567.80893993,1310676.781010577,1310348.790927,1,1710,2022-12-23
6,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,1990.675317255,1991.1586997151849,36969473.918142,73949130.72991712,663719.5665717282,663558.439085,1,1485,2022-12-24
5,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,12847.924599903,12844.785451817455,36468403.554002,72955092.63376334,4281595.150605819,4282641.533301,1,1301,2022-12-25
4,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2692.680593805,2692.8569119572626,36609888.114417,73249309.8957355,897618.9706524208,897560.197935,1,1643,2022-12-26
3,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,4005.483252936,4005.79115954925,36406319.371899,72767916.31787759,1335263.71984975,1335161.084312,1,1667,2022-12-27
2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,6811.261442061,6812.189697763002,36496438.572359,73083290.8187621,2270729.899254334,2270420.480687,1,2023,2022-12-28
1,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,4452.954095235,4456.284505987765,36680686.692424,73418345.52628505,1485428.1686625883,1484318.031745,1,2453,2022-12-29
0,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,3627.693037665,3629.103179538367,36631797.626578,73344369.99475995,1209701.0598461225,1209231.012555,1,2113,2022-12-30
